iter	Passed	Remaining
398	252564	127231
399	253157	126578
400	253771	125936
401	254395	125299
402	254994	124650
403	255583	123996
404	256189	123350
405	256820	122717
406	257465	122090
407	258098	121457
408	258702	120812
409	259321	120173
410	259936	119532
411	260561	118897
412	261176	118256
413	261806	117623
414	262452	116996
415	263098	116370
416	263743	115743
417	264390	115117
418	264995	114472
419	265617	113836
420	266250	113203
421	266904	112580
422	267542	111950
423	268225	111338
424	268893	110720
425	269555	110100
426	270244	109490
427	270912	108871
428	271657	108283
429	272327	107664
430	273027	107057
431	273749	106458
432	274425	105840
433	275147	105240
434	275807	104616
435	276506	104007
436	277176	103386
437	277895	102783
438	278552	102157
439	279256	101547
440	279906	100918
441	280607	100307
442	281375	99720
443	282068	99105
444	282775	98494
445	283444	97870
446	284158	97262
447	284833	96639
448	285461	96001
449	286100	95366
450	286741	94732
451	287400	94104
452	288046	93471
453	288690	92838
454	289315	92199
455	289945	91561
456	290588	90928
457	291200	90284
458	291828	89646
459	292485	89017
460	293129	88383
461	293775	87751
462	294409	87114
463	295040	86477
464	295682	85843
465	296329	85210
466	297024	84591
467	297661	83955
468	298276	83314
469	298910	82677
470	299528	82036
471	300147	81395
472	300819	80769
473	301480	80140
474	302074	79493
475	302704	78855
476	303310	78212
477	304020	77595
478	304722	76975
479	305351	76337
480	305978	75699
481	306579	75054
482	307219	74419
483	307841	73780
484	308434	73133
485	309050	72493
486	309685	71857
487	310300	71216
488	310946	70582
489	311619	69955
490	312249	69318
491	312865	68677
492	313474	68036
493	314067	67390
494	314659	66745
495	315254	66101
496	315870	65462
497	316489	64823
498	317082	64179
499	317719	63543
500	318289	62895
501	318871	62249
502	319455	61604
503	320051	60962
504	320667	60323
505	321283	59685
506	321907	59048
507	322540	58412
508	323175	57777
509	323787	57138
510	324409	56501
511	325021	55863
512	325627	55223
513	326219	54581
514	326822	53941
515	327478	53310
516	328120	52676
517	328753	52042
518	329387	51407
519	330041	50775
520	330680	50141
521	331311	49506
522	331937	48870
523	332564	48234
524	333201	47600
525	333824	46963
526	334427	46324
527	335047	45688
528	335686	45054
529	336297	44416
530	336908	43779
531	337479	43136
532	338092	42499
533	338682	41859
534	339281	41221
535	339903	40585
536	340558	39953
537	341187	39319
538	341835	38686
539	342446	38049
540	343044	37411
541	343673	36776
542	344269	36138
543	344908	35505
544	345540	34871
545	346143	34233
546	346810	33603
547	347479	32972
548	348161	32342
549	348851	31713
550	349537	31084
551	350183	30450
552	350830	29817
553	351466	29183
554	352071	28546
555	352690	27910
556	353335	27277
557	353952	26641
558	354571	26006
559	355187	25370
560	355812	24735
561	356406	24098
562	357040	23464
563	357649	22828
564	358285	22194
565	358935	21561
566	359553	20926
567	360200	20292
568	360866	19660
569	361508	19026
570	362168	18393
571	362970	17767
572	363933	17148
573	364724	16520
574	365502	15891
575	366216	15259
576	366908	14625
577	367601	13991
578	368286	13357
579	368997	12724
580	369692	12089
581	370389	11455
582	371068	10820
583	371724	10184
584	372389	9548
585	373090	8913
586	373775	8277
587	374490	7642
588	375202	7007
589	375934	6371
590	376652	5735
591	377339	5099
592	378020	4462
593	378764	3825
594	379493	3189
595	380228	2551
596	380971	1914
597	381661	1276
598	382308	638
599	382975	0
