iter	MultiClass
335	0.2980141744
336	0.2972359598
337	0.2962270217
338	0.2958298127
339	0.2951187255
340	0.2942366755
341	0.2936610204
342	0.2930087862
343	0.2925247897
344	0.2915358427
345	0.290838597
346	0.2902732506
347	0.2893975741
348	0.288625168
349	0.2882378127
350	0.2872119288
351	0.2862845267
352	0.2859673422
353	0.2851192816
354	0.2845630167
355	0.2839450445
356	0.2833596695
357	0.2825183801
358	0.282006024
359	0.2814190237
360	0.2806988203
361	0.2799979738
362	0.2790686522
363	0.2781621249
364	0.2774283902
365	0.2769098746
366	0.2763519006
367	0.2756248066
368	0.2747581177
369	0.2740044413
370	0.2734422613
371	0.2729524704
372	0.2721217967
373	0.2713915604
374	0.2707992451
375	0.2701255435
376	0.2694666835
377	0.2689517948
378	0.268202917
379	0.2677087365
380	0.2670190911
381	0.266131737
382	0.265305232
383	0.2646581287
384	0.2641738423
385	0.2637949177
386	0.2632670329
387	0.2626315122
388	0.2620018119
389	0.2616037922
390	0.2611312232
391	0.2604250513
392	0.2598947076
393	0.2592421258
394	0.258501482
395	0.257945449
396	0.2571132465
397	0.2563995172
398	0.2558647171
399	0.2552118137
400	0.2545130398
401	0.2537483803
402	0.2530615681
403	0.2527060829
404	0.2521339169
405	0.2516577034
406	0.2511294093
407	0.2503115616
408	0.249935848
409	0.2493440935
410	0.2487302144
411	0.2482506115
412	0.2475940691
413	0.2468672862
414	0.2462715815
415	0.2456891238
416	0.2452170924
417	0.2447388168
418	0.2442596812
419	0.2435507393
420	0.2430384909
421	0.2424199233
422	0.2419293563
423	0.2414799074
424	0.2409094669
425	0.2406111073
426	0.2401383199
427	0.2395027573
428	0.2390669479
429	0.2384939211
430	0.2380333324
431	0.2375815232
432	0.2370441014
433	0.236273454
434	0.2359707665
435	0.235479956
436	0.2351453139
437	0.234596024
438	0.2338909642
439	0.2329949275
440	0.2326628916
441	0.2323228184
442	0.231843192
443	0.2313137174
444	0.2308590597
445	0.2302692577
446	0.2296479306
447	0.2290942499
448	0.2285909989
449	0.2279238276
450	0.2272532825
451	0.2270331709
452	0.2267028896
453	0.2261060743
454	0.2254805125
455	0.225109145
456	0.2246473687
457	0.2241898373
458	0.2235917059
459	0.2232027687
460	0.222894316
461	0.2223751946
462	0.2220329737
463	0.2214759818
464	0.221106559
465	0.220570272
466	0.2200175043
467	0.2196660529
468	0.2192430011
469	0.2188773303
470	0.2182960375
471	0.2175965584
472	0.2172831719
473	0.2167001749
474	0.2163145077
475	0.2159131487
476	0.2154592719
477	0.2151699338
478	0.214641532
479	0.2142057352
480	0.2136983241
481	0.2132367956
482	0.2128126966
483	0.2124945008
484	0.2122980945
485	0.2117643536
486	0.2112589969
487	0.2108029175
488	0.2102082828
489	0.2098182731
490	0.2095395842
491	0.2091491292
492	0.2086206918
493	0.2082555024
494	0.2078325676
495	0.2075380817
496	0.2072906678
497	0.2068476689
498	0.2063232818
499	0.2060850523
